education,food,commerce,finance,health,kindergarten,school,edu_buf,food_buf,fin_buf,commerce_buf,subway_buf,bus_buf,tram_stop,building_id,y,x
0,0,0,0,0,2,1,1,1,0,1,0,0,0,215,"59.83193599","30.18528402"
0,1,1,1,1,5,2,0,0,0,11,0,0,0,216,"59.86186896","30.18550298"
0,0,0,0,0,3,3,0,2,1,6,0,0,0,217,"59.84757991","30.18697899"
0,0,1,0,0,5,5,0,0,0,1,0,0,0,218,"59.84907375","30.18589515"
0,0,0,0,0,3,6,0,0,0,0,0,0,0,219,"59.85244075","30.18624358"
0,0,1,0,0,4,3,0,2,1,1,0,0,0,220,"59.84835360","30.18673856"
0,1,1,1,1,5,2,0,0,0,6,0,0,0,221,"59.86162352","30.18641435"
0,1,1,0,1,5,5,0,1,1,7,0,2,0,222,"59.85462344","30.18662584"
0,0,1,0,0,7,3,0,2,0,6,0,0,0,223,"59.86050803","30.18808360"
0,0,0,0,0,6,4,0,0,0,1,0,1,0,224,"59.85587660","30.18740572"
0,0,0,0,0,5,4,0,0,0,3,0,0,0,225,"59.85100115","30.18831230"
0,0,0,0,0,4,3,0,1,0,3,0,0,0,226,"59.84822652","30.18830609"
0,0,1,0,0,3,6,0,0,0,0,0,0,0,227,"59.85345199","30.18786610"
0,0,1,0,0,6,3,1,0,0,0,0,0,0,228,"59.85717770","30.19028570"
0,0,1,0,1,5,3,0,2,0,13,0,0,0,229,"59.86156683","30.18893261"
0,0,0,0,0,7,4,0,0,0,8,0,2,0,230,"59.85850471","30.18960999"
0,1,1,0,0,4,5,0,0,0,2,0,0,0,231,"59.85388641","30.18997920"
0,1,1,0,0,4,2,0,2,0,16,0,0,0,232,"59.86184142","30.18955715"
0,0,0,0,0,3,2,0,2,0,24,0,0,0,233,"59.86226713","30.18957604"
0,0,0,0,0,3,6,0,0,0,0,0,0,0,234,"59.85315525","30.18940805"
0,0,0,0,0,4,3,0,0,0,0,0,0,0,235,"59.84835108","30.19001907"
0,0,0,0,0,3,4,1,0,0,2,0,0,0,236,"59.85129468","30.19045407"
0,0,0,0,0,2,2,0,0,0,1,0,0,0,237,"59.84743658","30.18991242"
0,0,1,0,0,3,3,1,0,0,2,0,0,0,238,"59.85006434","30.19045934"
0,1,1,0,1,3,2,0,1,0,15,0,1,0,239,"59.86283813","30.19034699"
0,0,1,0,1,6,4,1,1,0,7,0,0,0,240,"59.85948250","30.19172469"
0,0,1,0,1,1,2,0,0,0,7,0,1,0,241,"59.98972632","30.19091800"
0,0,0,0,0,3,3,0,0,0,2,0,0,0,242,"59.85085276","30.19090930"
0,0,1,0,1,4,5,1,1,0,20,0,1,0,243,"59.85320018","30.19108935"
0,0,1,0,0,7,3,0,0,0,11,0,0,0,244,"59.85816565","30.19112887"
0,0,0,0,0,1,2,0,0,0,3,0,1,0,245,"59.98900489","30.19104199"
0,0,0,0,0,6,3,0,0,0,1,0,1,0,246,"59.85502197","30.19242502"
0,0,0,0,0,2,2,1,0,0,0,0,0,0,247,"59.84716679","30.19203313"
0,0,0,0,0,3,2,0,0,0,1,0,0,0,248,"59.98819893","30.19160085"
0,0,0,0,0,4,2,0,0,0,14,0,0,0,249,"59.86123225","30.19129145"
0,0,1,0,1,3,2,0,0,0,0,0,3,0,250,"59.82922705","30.19172360"
0,0,1,0,0,3,2,0,0,0,14,0,0,0,251,"59.86103335","30.19168167"
0,0,0,0,0,2,2,0,0,0,15,0,0,0,252,"59.86176522","30.19185010"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,"60.03938715","30.19165890"
0,0,1,0,0,3,4,1,0,0,1,0,0,0,254,"59.85168120","30.19196385"
0,0,0,0,0,3,2,0,0,0,5,0,2,2,255,"59.98951005","30.19324557"
0,0,1,0,0,3,2,1,0,0,0,0,0,0,256,"59.82837547","30.19368361"
0,0,1,0,1,4,3,0,1,0,3,0,1,0,257,"59.85009728","30.19281367"
0,0,1,0,1,6,3,0,0,0,5,0,0,0,258,"59.85780315","30.19271512"
0,0,0,0,0,3,2,0,0,0,14,0,0,0,259,"59.86133841","30.19237698"
0,0,0,0,0,3,2,0,0,0,1,0,0,0,260,"59.98795882","30.19271038"
0,0,1,0,0,2,2,0,0,0,1,0,0,0,261,"59.98719913","30.19272093"
0,0,0,0,0,5,2,1,0,0,9,0,0,0,262,"59.86071660","30.19256663"
0,0,0,0,0,3,2,0,0,0,0,0,0,0,263,"59.83008321","30.19258069"
0,0,0,0,0,4,2,1,0,0,0,0,0,0,264,"59.84803450","30.19326272"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,"60.03958153","30.19262098"
0,0,0,0,0,3,2,0,0,0,0,0,0,0,266,"59.83061930","30.19282760"
0,0,0,0,0,3,2,0,0,0,0,0,0,0,267,"59.82940176","30.19312118"
0,0,0,0,0,2,2,0,0,0,5,0,2,0,268,"59.86227288","30.19297739"
0,0,0,0,0,6,3,0,0,0,1,0,0,0,269,"59.85687080","30.19386363"
0,0,1,0,1,3,4,0,0,0,3,0,0,0,270,"59.85158056","30.19317707"
0,0,0,0,0,2,1,0,0,0,8,0,2,0,271,"59.99404298","30.19363089"
0,0,0,0,0,2,2,0,0,0,0,0,1,0,272,"59.98677429","30.19338733"
0,0,0,0,0,3,2,0,0,0,0,0,0,0,273,"59.83021486","30.19353616"
0,0,0,0,0,2,2,0,0,0,0,0,1,0,274,"59.98624449","30.19365578"
0,0,0,0,0,4,2,0,0,0,0,0,0,0,275,"59.83135315","30.19379888"
0,0,0,0,0,3,2,0,0,0,1,0,0,0,276,"59.98775913","30.19358389"
0,0,0,0,0,6,2,2,0,0,3,0,0,0,277,"59.86007790","30.19356230"
0,0,0,0,0,3,2,0,0,0,1,0,0,0,278,"59.98850525","30.19377844"
0,0,0,0,0,4,2,1,0,0,1,0,2,0,279,"59.99554239","30.19391679"
0,0,0,0,0,5,3,0,0,0,3,0,0,0,280,"59.84949262","30.19353655"
0,0,0,0,0,4,2,0,0,0,2,0,1,0,281,"59.99659458","30.19408056"
